"","ID_School","ID_Class","ID_Student","Educ_level","Gender","SES_language","SES_neighbourhood","SES_educ_level","IQ_score","Math_score","Reading_score","Analysing","Critical_processing","Memorising","Relating_structuring","Self_efficacy","Autonomous_motivation","Controlled_motivation","Amotivation"
"1",1,"6LOS                         ",10089,2,1,NA,NA,NA,"0.0796498081514196","-1.725521364","-1.63922749718931",2.75,3.25,3.75,3,2.5,2,3,3
"2",1,"6THa                         ",10112,2,0,0,1,0,"0.137774483398852","-0.54965572","0.671129670194362",3.25,3,3.25,3.5,1.75,4.33333333333333,2.33333333333333,1
"3",2,"6 CH                         ",20008,2,1,0,1,0,"-0.262121760616342","1.127263925","-0.956193325925408",3,2.5,2.5,3.5,2.25,2.83333333333333,2,1.66666666666667
"4",2,"6 STW                        ",20092,2,1,0,0,0,"0.646866108733224","-0.544588078","-1.07476863529187",2,3.25,3,3,1,2.33333333333333,2.16666666666667,4.33333333333333
"5",4,"6 TH                         ",40101,2,1,0,0,0,"-0.228285716140291","-1.142377348","0.0570545243836238",3.5,2.75,3.5,3.5,3.75,3.16666666666667,3.16666666666667,2.33333333333333
"6",5,"6 TTE                        ",50031,2,1,0,0,1,"-0.0599167694622321","-0.228256566","-0.275638518363128",2.25,2.75,3,2.75,2.5,2.33333333333333,2.33333333333333,2
"7",11,"6TBa                         ",110145,2,1,0,0,0,"0.645722078533736","1.175398119","0.0240394667094002",NA,NA,NA,NA,NA,99,99,99
"8",11,"6TBa                         ",110148,2,1,0,0,0,"0.386708618681644","1.008399097","0.668676368652878",NA,NA,NA,NA,NA,99,99,99
"9",11,"6TBa                         ",110154,2,1,0,0,0,"-0.146250665623666","0.669191993","-0.297033200932233",NA,NA,NA,NA,NA,99,99,99
"10",11,"6TBa                         ",110157,2,1,0,0,0,"1.07729309718383","1.154282697","-0.169202594732389",NA,NA,NA,NA,NA,99,99,99
"11",11,"6TBb                         ",110161,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99
"12",11,"6TBb                         ",110164,2,0,0,0,0,"-0.531494641792957","0.5794445","-0.909476068804139",1.75,3,2.75,2.5,3.25,2.16666666666667,3.16666666666667,4.33333333333333
"13",11,"6TBb                         ",110171,2,1,0,0,0,"0.321699944761701","-0.170377063","0.318532791871325",3.75,3.25,4.75,4,4.5,4,3.83333333333333,2
"14",11,"6THa                         ",110180,2,0,0,0,1,"-0.0946756713888635","-0.262995819","-0.76599717417535",1.75,1.25,3.5,2.25,2,99,3,1.33333333333333
"15",11,"6THa                         ",110183,2,1,0,0,1,"0.0123080578846209","-0.874143344","0.657889412652343",3.5,2.5,2.75,3.25,4,3.16666666666667,3.16666666666667,3.33333333333333
"16",11,"6THb                         ",110192,2,1,0,0,0,"-0.138652651263335","-1.43366626","-1.29940544585425",2.5,2.25,3.5,3.25,3.25,1.66666666666667,3.5,2.33333333333333
"17",11,"6THb                         ",110194,2,1,0,0,0,"0.281551059492333","1.494806879","0.420785583902123",2.75,2.5,3.25,2.75,2.25,2.16666666666667,3.5,2.66666666666667
"18",11,"6THb                         ",110195,2,1,0,0,0,"-0.832056872810763","-0.265368378","-0.0833166649728458",3.5,3.25,4.5,3,2.5,1.5,3,3.33333333333333
